Continuous: Disulfiram (high),S(0%) Rep1,S(0%) Rep2,S(0%) Rep3,R(0%) Rep1,R(0%) Rep2,R(0%) Rep3,S(0.25%) Rep1,S(0.25%) Rep2,S(0.25%) Rep3,R(0.25%) Rep1,R(0.25%) Rep2,R(0.25%) Rep3,S(0.5%) Rep1,S(0.5%) Rep2,S(0.5%) Rep3,R(0.5%) Rep1,R(0.5%) Rep2,R(0.5%) Rep3,S(0.75%) Rep1,S(0.75%) Rep2,S(0.75%) Rep3,R(0.75%) Rep1,R(0.75%) Rep2,R(0.75%) Rep3,S(1%) Rep1,S(1%) Rep2,S(1%) Rep3,R(1%) Rep1,R(1%) Rep2,R(1%) Rep3
         0,     17823,     17587,     17239,       229,       192,       182,     21107,     22467,     22729,      5309,      4507,      5145,     16838,     17483,     14453,      9787,     10928,     10005,      8496,      7488,      8300,     15579,     13740,     15485,       825,       767,       898,      8546,      8657,      9070
         4,     53540,     52858,     51174,       354,       353,       346,     54369,     56788,     59406,      6127,      5703,      5617,     42866,     42133,     38756,     11743,     13024,     11505,     26515,     22850,     24306,     19080,     17174,     17852,       871,       928,      1023,      9668,     10419,     11526
         7,     67666,     65158,     64870,       396,       346,       363,     72047,     76521,     75770,      4722,      4626,      4128,     56181,     55893,     54151,      9195,     10658,      9057,     35563,     31884,     36391,     14916,     13559,     14711,      1072,      1124,      1133,      7613,      8378,      9413
        11,     70767,     72598,     78809,       285,       296,       363,     81931,     79945,     85422,      2550,      2365,      2338,     60966,     59558,     59625,      4850,      5412,      4619,     40049,     37986,     42615,      7631,      6800,      7935,       988,      1043,       956,      4407,      4799,      5066
        14,     69686,     77671,     84563,       247,       315,       366,     80176,     79302,     87153,      1925,      1803,      1760,     62083,     59097,     63858,      3568,      3775,      3393,     39308,     39086,     42616,      5024,      4814,      5513,       874,       963,       898,      3021,      3231,      3224
        18,     73559,     89139,     92346,       250,       353,       353,     86247,     82181,     85090,      1129,      1046,      1032,     62477,     57066,     66761,      1812,      1764,      1663,     42668,     42389,     44342,      2332,      2239,      2679,       820,       888,       843,      1531,      1651,      1592
        21,     94829,     94873,    108396,       312,       351,       417,     94649,     96105,     86903,       955,      1012,       830,     65468,     64401,     85340,      1407,      1299,      1336,     45418,     48267,     46389,      1732,      1550,      1798,       635,       725,       692,      1070,      1201,      1214
        25,    142239,    126729,    135017,       440,       477,       490,    122301,    117914,    108158,       944,       951,       842,     73483,     95127,    126130,      1081,      1110,      1284,     49686,     58686,     48970,      1217,      1186,      1236,       623,       646,       616,       732,       824,       982
        28,    198428,    156309,    158927,       595,       545,       536,    156839,    134412,    131171,      1046,       976,       869,     76631,    122730,    165853,       947,      1097,      1300,     53931,     72947,     53031,      1021,      1086,      1078,       698,       706,       681,       566,       668,       837
